open_time,open,high,low,close,volume,close_time,qoute_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1737201600000000,3311.63000000,3347.34000000,3250.00000000,3307.71000000,272291.45190000,1737244799999999,897145129.77157100,1815622,131824.67600000,434387934.26917900,0
1737244800000000,3307.71000000,3378.11000000,3130.48000000,3149.97000000,457053.99310000,1737287999999999,1482547250.94179700,2549047,214981.98960000,697962267.44950600,0
1737288000000000,3149.98000000,3448.99000000,3145.00000000,3215.12000000,885247.52860000,1737331199999999,2926112430.07053300,4515766,436950.44160000,1445695211.45078000,0
1737331200000000,3215.20000000,3453.69000000,3142.78000000,3375.43000000,638065.71830000,1737374399999999,2106000184.62116700,3877040,323128.00550000,1067942851.86880300,0
1737374400000000,3375.42000000,3390.68000000,3205.42000000,3284.00000000,520289.06310000,1737417599999999,1724020130.51044000,3260511,249544.69730000,827377748.09318300,0
1737417600000000,3283.99000000,3314.00000000,3204.60000000,3305.07000000,287347.09520000,1737460799999999,935514192.18261700,2089080,141903.21520000,462158738.28771200,0
1737460800000000,3305.07000000,3368.00000000,3265.11000000,3327.54000000,261358.95610000,1737503999999999,866803387.48504200,1663877,129190.41260000,428596920.59773600,0
1737504000000000,3327.55000000,3365.99000000,3273.83000000,3326.55000000,163417.11530000,1737547199999999,542165745.86332700,967780,77139.36840000,256070328.96527900,0
1737547200000000,3326.55000000,3332.70000000,3222.85000000,3242.60000000,185823.63450000,1737590399999999,608482625.33323200,1219891,86343.39160000,282774491.53928400,0
1737590400000000,3242.61000000,3261.34000000,3185.00000000,3213.08000000,176828.05080000,1737633599999999,569072127.85270000,1169457,85590.26130000,275505397.35830400,0
1737633600000000,3213.08000000,3347.97000000,3189.69000000,3338.21000000,428764.67170000,1737676799999999,1396235795.22784700,2086463,217704.68050000,709085038.35904400,0
1737676800000000,3338.22000000,3421.00000000,3275.90000000,3399.22000000,247940.41500000,1737719999999999,832677477.15296900,1668111,122842.21430000,412669225.87254300,0
1737720000000000,3399.21000000,3428.00000000,3304.11000000,3310.09000000,203583.86020000,1737763199999999,686701820.53799400,1125458,92165.78920000,311161589.17398000,0
1737763200000000,3310.10000000,3325.00000000,3268.66000000,3306.91000000,115562.35020000,1737806399999999,380737352.28170600,782072,55724.08170000,183638506.31221800,0
1737806400000000,3306.91000000,3350.68000000,3294.24000000,3318.77000000,92996.69130000,1737849599999999,309646132.84373800,674566,42405.36810000,141161125.81543600,0
1737849600000000,3318.76000000,3362.00000000,3292.82000000,3312.30000000,100335.80990000,1737892799999999,333839903.85931700,572966,45279.45690000,150688247.46859200,0
1737892800000000,3312.30000000,3344.88000000,3230.00000000,3232.61000000,171829.65910000,1737935999999999,565451113.75405700,843359,71546.82200000,235632440.35933700,0
1737936000000000,3232.61000000,3253.91000000,3020.01000000,3058.94000000,448160.31380000,1737979199999999,1399123541.31367200,2527129,195586.55840000,610088611.05454000,0
1737979200000000,3058.94000000,3239.00000000,3046.68000000,3182.44000000,304844.43910000,1738022399999999,950647028.39293900,2361375,149698.02370000,467107185.08258200,0
1738022400000000,3182.44000000,3223.01000000,3151.62000000,3186.74000000,126534.66070000,1738065599999999,404144665.16750000,1115084,62250.82620000,198879624.33904600,0
1738065600000000,3186.75000000,3214.38000000,3040.03000000,3077.72000000,224425.05660000,1738108799999999,702857071.00750500,1821890,108525.90090000,340110584.38440100,0
1738108800000000,3077.72000000,3164.11000000,3076.31000000,3135.13000000,101580.89430000,1738151999999999,317734095.97645400,948148,48687.09290000,152260935.50905500,0
1738152000000000,3135.13000000,3182.52000000,3054.06000000,3113.90000000,308156.36330000,1738195199999999,960522549.77311600,2329221,152120.83060000,474295564.87256500,0
1738195200000000,3113.90000000,3229.82000000,3091.06000000,3222.71000000,144539.88450000,1738238399999999,459598301.66886400,933575,77298.88580000,245793504.86424600,0
1738238400000000,3222.71000000,3283.43000000,3209.24000000,3247.39000000,206099.59780000,1738281599999999,671288304.87081800,1477214,103185.24490000,336141758.32033000,0
1738281600000000,3247.38000000,3338.55000000,3213.80000000,3335.16000000,189225.45690000,1738324799999999,618295147.48387600,1346500,103014.46640000,336897989.86110500,0
1738324800000000,3335.16000000,3437.31000000,3278.50000000,3300.99000000,459456.19920000,1738367999999999,1540184666.84786700,2456393,240630.55350000,807102801.78039600,0
